Retailer name,value,GLA,Lease end,group,breakdown,Branch level 2
France,15.3,222,29/01/21,group,Satisfaction,Europe
Allemagne,18.1,592,26/10/19,group,Satisfaction,Europe
Autriche,12,225,30/06/17,group,Satisfaction,Europe
UK,10.7,285,31/08/18,group,Satisfaction,Europe
Suisse,9.2,68,31/07/18,group,Satisfaction,Europe
Suède,14,270,30/09/14,group,Satisfaction,Europe
USA,21.8,31,30/06/19,group,Satisfaction,Amérique du Nord
Canada,11.5,56,21/05/22,group,Satisfaction,Amérique du Nord
Mexique,24.6,2069,14/06/21,group,Satisfaction,Amérique du Nord
Costa Rica,39.8,116,04/03/22,group,Satisfaction,Amérique du Nord
Chine,15.7,227,30/06/21,group,Satisfaction,Asie
Japon,14.6,225,31/12/21,group,Satisfaction,Asie
Corée du Sud,20.8,380,09/03/23,group,Satisfaction,Asie
Malaysie,21.5,129,20/10/23,group,Satisfaction,Asie
Inde,13.1,252,31/05/18,group,Satisfaction,Asie
Thaïlande,21.3,1263,05/06/18,group,Satisfaction,Asie
Birmanie,27.6,287,31/12/17,group,Satisfaction,Asie
Boutan,22.7,1313,15/05/21,group,Satisfaction,Asie
Mongolie,16.9,59,16/02/20,group,Satisfaction,Asie
Brésil,20,423,31/12/23,group,Satisfaction,Amérique du Sud
Argentine,16.1,235,28/02/19,group,Satisfaction,Amérique du Sud
Bolivie,15.8,62,18/08/21,group,Satisfaction,Amérique du Sud
Peru,19,132,14/10/19,group,Satisfaction,Amérique du Sud
Chili,14.3,221,31/12/14,group,Satisfaction,Amérique du Sud
Uruguay,13.2,38,31/12/17,group,Satisfaction,Amérique du Sud
Paraguay,12.1,62,30/09/18,group,Satisfaction,Amérique du Sud
Afrique du Sud,16.7,256,19/03/18,group,Satisfaction,Afrique
Togo,28.7,309,28/02/24,group,Satisfaction,Afrique
Maroc,23.3,2296,31/12/22,group,Satisfaction,Afrique
France,11957,222,29/01/21,group,Visites,Europe
Allemagne,24993,592,26/10/19,group,Visites,Europe
