index,domain,NB store,center,NB visit,Increase
0,0_32101,0 Musees,Berlin,0.9,0.2
1,0_32101,1 Musees,Berlin,33.1,0.5
2,0_32101,2 Musees,Berlin,23,0.2
3,0_32101,3 Musees,Berlin,14.8,0.5
4,0_32101,4 Musees,Berlin,9.4,0.5
5,0_32101,5 Musees,Berlin,6.1,-0.4
6,0_32101,6 Musees,Berlin,4,0.5
7,0_32101,7 Musees,Berlin,2.7,0.2
8,0_32101,8+ Musees,Berlin,6.1,0.5
9,0_32101,0 Musees,Paris,3.7,0.5
10,0_32101,1 Musees,Paris,27.4,0.2
11,0_32101,2 Musees,Paris,22.4,-0.4
12,0_32101,3 Musees,Paris,15.5,0.2
13,0_32101,4 Musees,Paris,10.2,-0.4
14,0_32101,5 Musees,Paris,6.8,-0.4
15,0_32101,6 Musees,Paris,4.5,0.2
16,0_32101,7 Musees,Paris,3,0.2
17,0_32101,8+ Musees,Paris,6.6,-0.4
