date,center,value
01-12,Chaussures de ville,7.02
02-12,Chaussures de ville,5.09
03-12,Chaussures de ville,5.21
04-12,Chaussures de ville,5.32
05-12,Chaussures de ville,5.33
06-12,Chaussures de ville,6.83
07-12,Chaussures de ville,7.41
08-12,Chaussures de ville,4.86
09-12,Chaussures de ville,6.29
10-12,Chaussures de ville,6.66
11-12,Chaussures de ville,6.44
12-12,Chaussures de ville,10.03
01-13,Chaussures de ville,7.56
02-13,Chaussures de ville,5.14
03-13,Chaussures de ville,5.49
04-13,Chaussures de ville,5.73
05-13,Chaussures de ville,5.64
06-13,Chaussures de ville,6.91
07-13,Chaussures de ville,7.06
08-13,Chaussures de ville,4.9
09-13,Chaussures de ville,6.04
10-13,Chaussures de ville,6.36
11-13,Chaussures de ville,6.56
12-13,Chaussures de ville,9.41
01-14,Chaussures de ville,7.43
02-14,Chaussures de ville,5.13
03-14,Chaussures de ville,5.47
04-14,Chaussures de ville,5.88
05-14,Chaussures de ville,6.27
06-14,Chaussures de ville,7.19
07-14,Chaussures de ville,7.59
08-14,Chaussures de ville,5.76
01-12,Baskets,4.04
02-12,Baskets,3.34
03-12,Baskets,3.42
04-12,Baskets,3.46
05-12,Baskets,3.59
06-12,Baskets,3.84
07-12,Baskets,3.77
08-12,Baskets,3.12
09-12,Baskets,3.58
10-12,Baskets,3.7
11-12,Baskets,3.72
12-12,Baskets,6.44
01-13,Baskets,4.07
02-13,Baskets,3.06
03-13,Baskets,3.36
04-13,Baskets,3.27
05-13,Baskets,3.43
06-13,Baskets,3.72
07-13,Baskets,3.69
08-13,Baskets,3.12
09-13,Baskets,3.32
10-13,Baskets,3.64
11-13,Baskets,3.81
12-13,Baskets,6.18
01-14,Baskets,4.08
02-14,Baskets,3.13
03-14,Baskets,3.3
04-14,Baskets,3.34
05-14,Baskets,3.69
06-14,Baskets,3.63
07-14,Baskets,3.69
08-14,Baskets,3.27
