level_0,level_1,variable,value
Données brutes,1965-03-31,infl,1.28
Données brutes,1965-06-30,infl,2.54
Données brutes,1965-09-30,infl,0.89
Données brutes,1965-12-31,infl,2.9
Données brutes,1966-03-31,infl,4.99
Données brutes,1966-06-30,infl,2.1
Données brutes,1966-09-30,infl,4.9
Données brutes,1966-12-31,infl,0.61
Données brutes,1967-03-31,infl,2.42
Données brutes,1967-06-30,infl,3.61
Données brutes,1967-09-30,infl,3.58
Données brutes,1967-12-31,infl,4.72
Données brutes,1968-03-31,infl,3.5
Données brutes,1968-06-30,infl,5.77
Données brutes,1968-09-30,infl,4.56
Données brutes,1968-12-31,infl,4.51
Données brutes,1969-03-31,infl,6.67
Données brutes,1969-06-30,infl,5.47
Données brutes,1969-09-30,infl,5.4
Données brutes,1969-12-31,infl,6.38
Données brutes,1970-03-31,infl,6.28
Données brutes,1970-06-30,infl,4.13
Données brutes,1970-09-30,infl,5.11
Données brutes,1970-12-31,infl,5.04
Données brutes,1971-03-31,infl,2.0
Données brutes,1971-06-30,infl,4.96
Données brutes,1971-09-30,infl,2.94
Données brutes,1971-12-31,infl,2.92
Données brutes,1972-03-31,infl,2.9
Données brutes,1972-06-30,infl,2.88
Données brutes,1972-09-30,infl,3.81
Données brutes,1972-12-31,infl,4.71
Données brutes,1973-03-31,infl,9.26
Données brutes,1973-06-30,infl,4.55
Données brutes,1973-09-30,infl,12.47
Données brutes,1973-12-31,infl,10.39
Données brutes,1974-03-31,infl,10.96
Données brutes,1974-06-30,infl,9.86
Données brutes,1974-09-30,infl,13.56
Données brutes,1974-12-31,infl,10.07
Données brutes,1975-03-31,infl,5.32
Données brutes,1975-06-30,infl,7.48
Données brutes,1975-09-30,infl,6.61
Données brutes,1975-12-31,infl,6.5
Données brutes,1976-03-31,infl,2.14
Données brutes,1976-06-30,infl,6.37
Données brutes,1976-09-30,infl,6.27
Données brutes,1976-12-31,infl,5.49
Données brutes,1977-03-31,infl,8.76
Données brutes,1977-06-30,infl,5.3
Données brutes,1977-09-30,infl,5.23
Données brutes,1977-12-31,infl,7.08
Données brutes,1978-03-31,infl,7.58
Données brutes,1978-06-30,infl,9.89
Données brutes,1978-09-30,infl,9.65
Données brutes,1978-12-31,infl,8.26
Données brutes,1979-03-31,infl,12.08
Données brutes,1979-06-30,infl,13.37
Données brutes,1979-09-30,infl,11.88
Données brutes,1979-12-31,infl,14.62
Données brutes,1980-03-31,infl,14.6
Données brutes,1980-06-30,infl,8.32
Données brutes,1980-09-30,infl,10.04
Données brutes,1980-12-31,infl,11.64
Données brutes,1981-03-31,infl,8.62
Données brutes,1981-06-30,infl,10.63
Données brutes,1981-09-30,infl,8.22
Données brutes,1981-12-31,infl,4.26
Données brutes,1982-03-31,infl,2.53
Données brutes,1982-06-30,infl,10.39
Données brutes,1982-09-30,infl,2.45
Données brutes,1982-12-31,infl,-0.82
Données brutes,1983-03-31,infl,3.66
Données brutes,1983-06-30,infl,4.03
Données brutes,1983-09-30,infl,3.99
Données brutes,1983-12-31,infl,5.13
Données brutes,1984-03-31,infl,4.67
Données brutes,1984-06-30,infl,3.09
Données brutes,1984-09-30,infl,3.82
Données brutes,1984-12-31,infl,2.28
Données brutes,1985-03-31,infl,4.89
Données brutes,1985-06-30,infl,2.61
Données brutes,1985-09-30,infl,2.96
Données brutes,1985-12-31,infl,5.13
Business Cycles,1965-03-31,infl,-0.6274405949749402
Business Cycles,1965-06-30,infl,-0.4066023708255556
Business Cycles,1965-09-30,infl,0.011129003186502756
Business Cycles,1965-12-31,infl,0.47893681262991994
Business Cycles,1966-03-31,infl,0.7166081726866844
Business Cycles,1966-06-30,infl,0.5033693262852925
Business Cycles,1966-09-30,infl,-0.1057675906988425
Business Cycles,1966-12-31,infl,-0.7436714411733596
Business Cycles,1967-03-31,infl,-1.0615061781429103
Business Cycles,1967-06-30,infl,-0.8420861077325379
Business Cycles,1967-09-30,infl,-0.22963120841406526
Business Cycles,1967-12-31,infl,0.33801513673122113
Business Cycles,1968-03-31,infl,0.590809962624446
Business Cycles,1968-06-30,infl,0.592497750516905
Business Cycles,1968-09-30,infl,0.5066529511658922
Business Cycles,1968-12-31,infl,0.6361825148465534
Business Cycles,1969-03-31,infl,0.9985319403710712
Business Cycles,1969-06-30,infl,1.377469588182941
Business Cycles,1969-09-30,infl,1.599918320968592
Business Cycles,1969-12-31,infl,1.4778997745616134
Business Cycles,1970-03-31,infl,1.041695476700285
Business Cycles,1970-06-30,infl,0.4154508890454919
Business Cycles,1970-09-30,infl,-0.188389278973602
Business Cycles,1970-12-31,infl,-0.7731215785660381
Business Cycles,1971-03-31,infl,-1.2681088226280903
Business Cycles,1971-06-30,infl,-1.688017207111721
Business Cycles,1971-09-30,infl,-2.1605811008858464
Business Cycles,1971-12-31,infl,-2.7214606824787997
Business Cycles,1972-03-31,infl,-3.054098672367421
Business Cycles,1972-06-30,infl,-2.897867197347095
Business Cycles,1972-09-30,infl,-2.2190822455423174
Business Cycles,1972-12-31,infl,-1.1215411677505267
Business Cycles,1973-03-31,infl,0.20272206098654122
Business Cycles,1973-06-30,infl,1.6071754469169865
Business Cycles,1973-09-30,infl,2.8619721327007563
Business Cycles,1973-12-31,infl,3.800481675726644
Business Cycles,1974-03-31,infl,4.257180385176198
Business Cycles,1974-06-30,infl,4.154385002950696
Business Cycles,1974-09-30,infl,3.5023155492063633
Business Cycles,1974-12-31,infl,2.372156456088178
Business Cycles,1975-03-31,infl,0.9092207700686181
Business Cycles,1975-06-30,infl,-0.6388584666034636
Business Cycles,1975-09-30,infl,-1.9426297787249864
Business Cycles,1975-12-31,infl,-2.635925669608714
Business Cycles,1976-03-31,infl,-2.5965887649997956
Business Cycles,1976-06-30,infl,-2.1759701837380145
Business Cycles,1976-09-30,infl,-1.6547770173155483
Business Cycles,1976-12-31,infl,-1.4377085015897964
Business Cycles,1977-03-31,infl,-1.6399770339135409
Business Cycles,1977-06-30,infl,-1.9179886406063933
Business Cycles,1977-09-30,infl,-1.831143586315659
Business Cycles,1977-12-31,infl,-1.452966197165248
Business Cycles,1978-03-31,infl,-0.9204749505900518
Business Cycles,1978-06-30,infl,-0.27438181909805676
Business Cycles,1978-09-30,infl,0.33782078253430015
Business Cycles,1978-12-31,infl,1.0888604151530663
Business Cycles,1979-03-31,infl,2.1916458310957667
Business Cycles,1979-06-30,infl,3.429356034488749
Business Cycles,1979-09-30,infl,4.085603225787398
Business Cycles,1979-12-31,infl,3.998927442513195
Business Cycles,1980-03-31,infl,3.3549876549420783
Business Cycles,1980-06-30,infl,2.4177379492728686
Business Cycles,1980-09-30,infl,1.6880258736150828
Business Cycles,1980-12-31,infl,1.3779300541132034
Business Cycles,1981-03-31,infl,1.248044793959683
Business Cycles,1981-06-30,infl,0.9888806706931835
Business Cycles,1981-09-30,infl,0.4001908191666776
Business Cycles,1981-12-31,infl,-0.47751498141239096
Business Cycles,1982-03-31,infl,-1.4119712295403768
Business Cycles,1982-06-30,infl,-2.286968442023137
Business Cycles,1982-09-30,infl,-2.85888223522226
Business Cycles,1982-12-31,infl,-2.909190337447594
Business Cycles,1983-03-31,infl,-2.348072610497443
Business Cycles,1983-06-30,infl,-1.2147223104492508
Business Cycles,1983-09-30,infl,-0.021151905111045255
Business Cycles,1983-12-31,infl,0.6488649109679308
Business Cycles,1984-03-31,infl,0.5034470273842581
Business Cycles,1984-06-30,infl,-0.023213662656599743
Business Cycles,1984-09-30,infl,-0.3289572037949598
Business Cycles,1984-12-31,infl,-0.10983238348907998
Business Cycles,1985-03-31,infl,0.39200819538251974
Business Cycles,1985-06-30,infl,0.4828705337082537
Business Cycles,1985-09-30,infl,-0.4086769198277711
Business Cycles,1985-12-31,infl,-1.764749545245781
Données brutes,1965-03-31,unemp,4.9
Données brutes,1965-06-30,unemp,4.7
Données brutes,1965-09-30,unemp,4.4
Données brutes,1965-12-31,unemp,4.1
Données brutes,1966-03-31,unemp,3.9
Données brutes,1966-06-30,unemp,3.8
Données brutes,1966-09-30,unemp,3.8
Données brutes,1966-12-31,unemp,3.7
Données brutes,1967-03-31,unemp,3.8
Données brutes,1967-06-30,unemp,3.8
Données brutes,1967-09-30,unemp,3.8
Données brutes,1967-12-31,unemp,3.9
Données brutes,1968-03-31,unemp,3.7
Données brutes,1968-06-30,unemp,3.5
Données brutes,1968-09-30,unemp,3.5
Données brutes,1968-12-31,unemp,3.4
Données brutes,1969-03-31,unemp,3.4
Données brutes,1969-06-30,unemp,3.4
Données brutes,1969-09-30,unemp,3.6
Données brutes,1969-12-31,unemp,3.6
Données brutes,1970-03-31,unemp,4.2
Données brutes,1970-06-30,unemp,4.8
Données brutes,1970-09-30,unemp,5.2
Données brutes,1970-12-31,unemp,5.8
Données brutes,1971-03-31,unemp,5.9
Données brutes,1971-06-30,unemp,5.9
Données brutes,1971-09-30,unemp,6.0
Données brutes,1971-12-31,unemp,6.0
Données brutes,1972-03-31,unemp,5.8
Données brutes,1972-06-30,unemp,5.7
Données brutes,1972-09-30,unemp,5.6
Données brutes,1972-12-31,unemp,5.3
Données brutes,1973-03-31,unemp,5.0
Données brutes,1973-06-30,unemp,4.9
Données brutes,1973-09-30,unemp,4.8
Données brutes,1973-12-31,unemp,4.8
Données brutes,1974-03-31,unemp,5.1
Données brutes,1974-06-30,unemp,5.2
Données brutes,1974-09-30,unemp,5.6
Données brutes,1974-12-31,unemp,6.6
Données brutes,1975-03-31,unemp,8.2
Données brutes,1975-06-30,unemp,8.9
Données brutes,1975-09-30,unemp,8.5
Données brutes,1975-12-31,unemp,8.3
Données brutes,1976-03-31,unemp,7.7
Données brutes,1976-06-30,unemp,7.6
Données brutes,1976-09-30,unemp,7.7
Données brutes,1976-12-31,unemp,7.8
Données brutes,1977-03-31,unemp,7.5
Données brutes,1977-06-30,unemp,7.1
Données brutes,1977-09-30,unemp,6.9
Données brutes,1977-12-31,unemp,6.6
Données brutes,1978-03-31,unemp,6.3
Données brutes,1978-06-30,unemp,6.0
Données brutes,1978-09-30,unemp,6.0
Données brutes,1978-12-31,unemp,5.9
Données brutes,1979-03-31,unemp,5.9
Données brutes,1979-06-30,unemp,5.7
Données brutes,1979-09-30,unemp,5.9
Données brutes,1979-12-31,unemp,5.9
Données brutes,1980-03-31,unemp,6.3
Données brutes,1980-06-30,unemp,7.3
Données brutes,1980-09-30,unemp,7.7
Données brutes,1980-12-31,unemp,7.4
Données brutes,1981-03-31,unemp,7.4
Données brutes,1981-06-30,unemp,7.4
Données brutes,1981-09-30,unemp,7.4
Données brutes,1981-12-31,unemp,8.2
Données brutes,1982-03-31,unemp,8.8
Données brutes,1982-06-30,unemp,9.4
Données brutes,1982-09-30,unemp,9.9
Données brutes,1982-12-31,unemp,10.7
Données brutes,1983-03-31,unemp,10.4
Données brutes,1983-06-30,unemp,10.1
Données brutes,1983-09-30,unemp,9.4
Données brutes,1983-12-31,unemp,8.5
Données brutes,1984-03-31,unemp,7.9
Données brutes,1984-06-30,unemp,7.5
Données brutes,1984-09-30,unemp,7.4
Données brutes,1984-12-31,unemp,7.3
Données brutes,1985-03-31,unemp,7.3
Données brutes,1985-06-30,unemp,7.3
Données brutes,1985-09-30,unemp,7.2
Données brutes,1985-12-31,unemp,7.0
Business Cycles,1965-03-31,unemp,0.13536016004333926
Business Cycles,1965-06-30,unemp,0.043990919315606086
Business Cycles,1965-09-30,unemp,-0.09891686660221652
Business Cycles,1965-12-31,unemp,-0.2616943789217444
Business Cycles,1966-03-31,unemp,-0.38952040244628505
Business Cycles,1966-06-30,unemp,-0.44382956260736306
Business Cycles,1966-09-30,unemp,-0.41106026414921776
Business Cycles,1966-12-31,unemp,-0.30869741834383113
Business Cycles,1967-03-31,unemp,-0.18626686955138166
Business Cycles,1967-06-30,unemp,-0.10524102779772976
Business Cycles,1967-09-30,unemp,-0.09515174642986168
Business Cycles,1967-12-31,unemp,-0.15424502100901255
Business Cycles,1968-03-31,unemp,-0.2666024017192513
Business Cycles,1968-06-30,unemp,-0.40041993458060676
Business Cycles,1968-09-30,unemp,-0.5341356617822828
Business Cycles,1968-12-31,unemp,-0.6649468229365763
Business Cycles,1969-03-31,unemp,-0.7868518760234101
Business Cycles,1969-06-30,unemp,-0.869086830454965
Business Cycles,1969-09-30,unemp,-0.8579986070199104
Business Cycles,1969-12-31,unemp,-0.6977928609784514
Business Cycles,1970-03-31,unemp,-0.36673801887139557
Business Cycles,1970-06-30,unemp,0.08046422671524445
Business Cycles,1970-09-30,unemp,0.5272864178861636
Business Cycles,1970-12-31,unemp,0.8562076816238791
Business Cycles,1971-03-31,unemp,1.0023016662058892
Business Cycles,1971-06-30,unemp,0.9850668776066311
Business Cycles,1971-09-30,unemp,0.8800441295382764
Business Cycles,1971-12-31,unemp,0.7371236167960427
Business Cycles,1972-03-31,unemp,0.5436627077637741
Business Cycles,1972-06-30,unemp,0.2613112253540715
Business Cycles,1972-09-30,unemp,-0.08792678322226521
Business Cycles,1972-12-31,unemp,-0.42897767236234524
Business Cycles,1973-03-31,unemp,-0.7039904728823155
Business Cycles,1973-06-30,unemp,-0.9233070146751927
Business Cycles,1973-09-30,unemp,-1.1441472234708017
Business Cycles,1973-12-31,unemp,-1.3644189994305302
Business Cycles,1974-03-31,unemp,-1.46489215891667
Business Cycles,1974-06-30,unemp,-1.246752305759158
Business Cycles,1974-09-30,unemp,-0.6005459281844407
Business Cycles,1974-12-31,unemp,0.3491862562041246
Business Cycles,1975-03-31,unemp,1.2754862469453627
Business Cycles,1975-06-30,unemp,1.8313495560547783
Business Cycles,1975-09-30,unemp,1.8546101089796152
Business Cycles,1975-12-31,unemp,1.4610463138565017
Business Cycles,1976-03-31,unemp,0.9635543909675841
Business Cycles,1976-06-30,unemp,0.6512583414741369
Business Cycles,1976-09-30,unemp,0.6045470824584865
Business Cycles,1976-12-31,unemp,0.6778754916073384
Business Cycles,1977-03-31,unemp,0.6533581877335277
Business Cycles,1977-06-30,unemp,0.3993736871675322
Business Cycles,1977-09-30,unemp,-0.03139756793261561
Business Cycles,1977-12-31,unemp,-0.4444744641756987
Business Cycles,1978-03-31,unemp,-0.6764728481450231
Business Cycles,1978-06-30,unemp,-0.7306850475484838
Business Cycles,1978-09-30,unemp,-0.7246562655184373
Business Cycles,1978-12-31,unemp,-0.7788313370411168
Business Cycles,1979-03-31,unemp,-0.9426816737547941
Business Cycles,1979-06-30,unemp,-1.1242796530837251
Business Cycles,1979-09-30,unemp,-1.1639014056819916
Business Cycles,1979-12-31,unemp,-0.9656025336421488
Business Cycles,1980-03-31,unemp,-0.5796073365011085
Business Cycles,1980-06-30,unemp,-0.16676454255944106
Business Cycles,1980-09-30,unemp,0.07618221462913932
Business Cycles,1980-12-31,unemp,0.04830831261351465
Business Cycles,1981-03-31,unemp,-0.1784991631953915
Business Cycles,1981-06-30,unemp,-0.40050793494969616
Business Cycles,1981-09-30,unemp,-0.40069878208639836
Business Cycles,1981-12-31,unemp,-0.07495251029606304
Business Cycles,1982-03-31,unemp,0.5279655293179961
Business Cycles,1982-06-30,unemp,1.23479912386952
Business Cycles,1982-09-30,unemp,1.8335247355634074
Business Cycles,1982-12-31,unemp,2.1471747012142153
Business Cycles,1983-03-31,unemp,2.09123272265729
Business Cycles,1983-06-30,unemp,1.6771883101341714
Business Cycles,1983-09-30,unemp,1.0074058384281859
Business Cycles,1983-12-31,unemp,0.28053225274203164
Business Cycles,1984-03-31,unemp,-0.28653556369221717
Business Cycles,1984-06-30,unemp,-0.5756504765204531
Business Cycles,1984-09-30,unemp,-0.605713791261058
Business Cycles,1984-12-31,unemp,-0.491609860474979
Business Cycles,1985-03-31,unemp,-0.37071955759493747
