date,game,value,market,type
02-15,Awesome game,1156442,All,units
01-15,Awesome game,712923,All,units
12-14,Awesome game,498916,All,units
11-14,Awesome game,240330,All,units
10-14,Awesome game,825838,All,units
09-14,Awesome game,1096076,All,units
08-14,Awesome game,1025589,All,units
07-14,Awesome game,1492059,All,units
06-14,Awesome game,2903113,All,units
05-14,Awesome game,2075259,All,units
04-14,Awesome game,7124342,All,units
02-15,Awesome game,683056,iOS,units
01-15,Awesome game,252229,iOS,units
12-14,Awesome game,498916,iOS,units
11-14,Awesome game,240330,iOS,units
10-14,Awesome game,470500,iOS,units
09-14,Awesome game,645775,iOS,units
08-14,Awesome game,508155,iOS,units
07-14,Awesome game,848257,iOS,units
06-14,Awesome game,1931614,iOS,units
05-14,Awesome game,1555667,iOS,units
04-14,Awesome game,7124342,iOS,units
02-15,Awesome game,473386,Google Play,units
01-15,Awesome game,460694,Google Play,units
12-14,Awesome game,,Google Play,units
11-14,Awesome game,,Google Play,units
10-14,Awesome game,355338,Google Play,units
09-14,Awesome game,450301,Google Play,units
08-14,Awesome game,517434,Google Play,units
07-14,Awesome game,643802,Google Play,units
06-14,Awesome game,971499,Google Play,units
05-14,Awesome game,519592,Google Play,units
04-14,Awesome game,,Google Play,units
02-15,Wonderful game,4438058,All,units
01-15,Wonderful game,4404604,All,units
12-14,Wonderful game,5299635,All,units
11-14,Wonderful game,4532069,All,units
10-14,Wonderful game,3918119,All,units
09-14,Wonderful game,4874938,All,units
08-14,Wonderful game,5077066,All,units
07-14,Wonderful game,3454557,All,units
06-14,Wonderful game,3716336,All,units
05-14,Wonderful game,3366548,All,units
04-14,Wonderful game,4071880,All,units
03-14,Wonderful game,5368557,All,units
02-14,Wonderful game,4602503,All,units
01-14,Wonderful game,6724432,All,units
12-13,Wonderful game,7769646,All,units
11-13,Wonderful game,5208622,All,units
10-13,Wonderful game,5890571,All,units
09-13,Wonderful game,6128666,All,units
08-13,Wonderful game,5559450,All,units
07-13,Wonderful game,7061506,All,units
06-13,Wonderful game,5487071,All,units
05-13,Wonderful game,6257341,All,units
04-13,Wonderful game,8588623,All,units
02-15,Wonderful game,1533507,iOS,units
01-15,Wonderful game,1621582,iOS,units
12-14,Wonderful game,1630358,iOS,units
11-14,Wonderful game,1729537,iOS,units
10-14,Wonderful game,1190356,iOS,units
09-14,Wonderful game,1302036,iOS,units
08-14,Wonderful game,1980430,iOS,units
07-14,Wonderful game,1654757,iOS,units
06-14,Wonderful game,1587110,iOS,units
05-14,Wonderful game,1176708,iOS,units
04-14,Wonderful game,1514154,iOS,units
03-14,Wonderful game,2064819,iOS,units
02-14,Wonderful game,1350840,iOS,units
01-14,Wonderful game,2227552,iOS,units
12-13,Wonderful game,3050045,iOS,units
11-13,Wonderful game,1849589,iOS,units
10-13,Wonderful game,2007330,iOS,units
09-13,Wonderful game,2637422,iOS,units
08-13,Wonderful game,2700058,iOS,units
07-13,Wonderful game,4283746,iOS,units
06-13,Wonderful game,3140423,iOS,units
05-13,Wonderful game,3584972,iOS,units
04-13,Wonderful game,4869417,iOS,units
02-15,Wonderful game,2904551,Google Play,units
01-15,Wonderful game,2783022,Google Play,units
12-14,Wonderful game,3669277,Google Play,units
11-14,Wonderful game,2802532,Google Play,units
10-14,Wonderful game,2727763,Google Play,units
09-14,Wonderful game,3572902,Google Play,units
08-14,Wonderful game,3096636,Google Play,units
07-14,Wonderful game,1799800,Google Play,units
06-14,Wonderful game,2129226,Google Play,units
05-14,Wonderful game,2189840,Google Play,units
04-14,Wonderful game,2557726,Google Play,units
03-14,Wonderful game,3303738,Google Play,units
02-14,Wonderful game,3251663,Google Play,units
01-14,Wonderful game,4496880,Google Play,units
12-13,Wonderful game,4719601,Google Play,units
11-13,Wonderful game,3359033,Google Play,units
10-13,Wonderful game,3883241,Google Play,units
09-13,Wonderful game,3491244,Google Play,units
08-13,Wonderful game,2859392,Google Play,units
07-13,Wonderful game,2777760,Google Play,units
06-13,Wonderful game,2346648,Google Play,units
05-13,Wonderful game,2672369,Google Play,units
04-13,Wonderful game,3719206,Google Play,units
02-15,Awesome game,319312,All,revenue
01-15,Awesome game,264710,All,revenue
12-14,Awesome game,276369,All,revenue
11-14,Awesome game,296812,All,revenue
10-14,Awesome game,403741,All,revenue
