poi_id,date,nb
cora.nord,2014-06,4420901
cora.nord,2014-07,4514727
cora.nord,2014-08,4580443
cora.nord,2014-09,4296883
cora.nord,2014-10,4708000
cora.nord,2014-11,4302047
cora.nord,2014-12,2713120
cote.nacre,2014-06,6170908
cote.nacre,2014-07,6026519
cote.nacre,2014-08,5596920
cote.nacre,2014-09,6275794
cote.nacre,2014-10,5926197
cote.nacre,2014-11,5902654
cote.nacre,2014-12,4193974
mondeville2,2014-06,5804176
mondeville2,2014-07,6212656
mondeville2,2014-08,5679202
mondeville2,2014-09,6180830
mondeville2,2014-10,6843341
mondeville2,2014-11,6413251
mondeville2,2014-12,4164766
