group,poi_id,nb,breakdown,date
-17 ans,cora.nord,12243,age,2014-12
-17 ans,cote.nacre,20581,age,2014-12
-17 ans,mondeville2,19326,age,2014-12
18-24 ans,cora.nord,125293,age,2014-12
18-24 ans,cote.nacre,254340,age,2014-12
18-24 ans,mondeville2,176834,age,2014-12
25-39 ans,cora.nord,311093,age,2014-12
25-39 ans,cote.nacre,434379,age,2014-12
25-39 ans,mondeville2,510784,age,2014-12
40-64 ans,cora.nord,300374,age,2014-12
40-64 ans,cote.nacre,474693,age,2014-12
40-64 ans,mondeville2,469965,age,2014-12
64 ans et +,cora.nord,21139,age,2014-12
64 ans et +,cote.nacre,30690,age,2014-12
64 ans et +,mondeville2,25211,age,2014-12
-17 ans,cora.nord,151915,age,2014-11
-17 ans,cote.nacre,202147,age,2014-11
-17 ans,mondeville2,224279,age,2014-11
18-24 ans,cora.nord,250716,age,2014-11
18-24 ans,cote.nacre,325779,age,2014-11
18-24 ans,mondeville2,379672,age,2014-11
25-39 ans,cora.nord,501417,age,2014-11
25-39 ans,cote.nacre,548875,age,2014-11
25-39 ans,mondeville2,514322,age,2014-11
40-64 ans,cora.nord,507971,age,2014-11
40-64 ans,cote.nacre,485017,age,2014-11
40-64 ans,mondeville2,656311,age,2014-11
64 ans et +,cora.nord,34891,age,2014-11
64 ans et +,cote.nacre,188910,age,2014-11
64 ans et +,mondeville2,119775,age,2014-11
-17 ans,cora.nord,172854,age,2014-10
-17 ans,cote.nacre,128392,age,2014-10
-17 ans,mondeville2,152318,age,2014-10
18-24 ans,cora.nord,138588,age,2014-10
18-24 ans,cote.nacre,463573,age,2014-10
18-24 ans,mondeville2,289060,age,2014-10
25-39 ans,cora.nord,511756,age,2014-10
25-39 ans,cote.nacre,624736,age,2014-10
25-39 ans,mondeville2,607218,age,2014-10
40-64 ans,cora.nord,332764,age,2014-10
40-64 ans,cote.nacre,589824,age,2014-10
40-64 ans,mondeville2,667091,age,2014-10
64 ans et +,cora.nord,84866,age,2014-10
64 ans et +,cote.nacre,152632,age,2014-10
64 ans et +,mondeville2,135571,age,2014-10
-17 ans,cora.nord,102444,age,2014-09
-17 ans,cote.nacre,187709,age,2014-09
-17 ans,mondeville2,131538,age,2014-09
18-24 ans,cora.nord,274717,age,2014-09
18-24 ans,cote.nacre,339054,age,2014-09
18-24 ans,mondeville2,327075,age,2014-09
25-39 ans,cora.nord,441217,age,2014-09
25-39 ans,cote.nacre,621367,age,2014-09
25-39 ans,mondeville2,699638,age,2014-09
40-64 ans,cora.nord,420273,age,2014-09
40-64 ans,cote.nacre,534351,age,2014-09
40-64 ans,mondeville2,564745,age,2014-09
64 ans et +,cora.nord,98991,age,2014-09
64 ans et +,cote.nacre,223409,age,2014-09
64 ans et +,mondeville2,59139,age,2014-09
-17 ans,cora.nord,203604,age,2014-08
-17 ans,cote.nacre,193800,age,2014-08
-17 ans,mondeville2,68744,age,2014-08
18-24 ans,cora.nord,223145,age,2014-08
18-24 ans,cote.nacre,255598,age,2014-08
18-24 ans,mondeville2,352232,age,2014-08
25-39 ans,cora.nord,360015,age,2014-08
25-39 ans,cote.nacre,466641,age,2014-08
25-39 ans,mondeville2,706891,age,2014-08
40-64 ans,cora.nord,434185,age,2014-08
40-64 ans,cote.nacre,546192,age,2014-08
40-64 ans,mondeville2,581684,age,2014-08
64 ans et +,cora.nord,125821,age,2014-08
64 ans et +,cote.nacre,75828,age,2014-08
64 ans et +,mondeville2,222489,age,2014-08
-17 ans,cora.nord,30027,age,2014-07
-17 ans,cote.nacre,160118,age,2014-07
-17 ans,mondeville2,55876,age,2014-07
18-24 ans,cora.nord,312776,age,2014-07
18-24 ans,cote.nacre,274300,age,2014-07
18-24 ans,mondeville2,194453,age,2014-07
25-39 ans,cora.nord,350862,age,2014-07
25-39 ans,cote.nacre,449472,age,2014-07
25-39 ans,mondeville2,667530,age,2014-07
40-64 ans,cora.nord,477356,age,2014-07
40-64 ans,cote.nacre,627077,age,2014-07
40-64 ans,mondeville2,470647,age,2014-07
64 ans et +,cora.nord,214133,age,2014-07
64 ans et +,cote.nacre,106536,age,2014-07
64 ans et +,mondeville2,194682,age,2014-07
-17 ans,cora.nord,76660,age,2014-06
-17 ans,cote.nacre,226513,age,2014-06
-17 ans,mondeville2,113919,age,2014-06
18-24 ans,cora.nord,140091,age,2014-06
18-24 ans,cote.nacre,294184,age,2014-06
18-24 ans,mondeville2,304761,age,2014-06
25-39 ans,cora.nord,315645,age,2014-06
25-39 ans,cote.nacre,565474,age,2014-06
25-39 ans,mondeville2,682148,age,2014-06
40-64 ans,cora.nord,360944,age,2014-06
40-64 ans,cote.nacre,611929,age,2014-06
40-64 ans,mondeville2,498401,age,2014-06
64 ans et +,cora.nord,140838,age,2014-06
64 ans et +,cote.nacre,126110,age,2014-06
64 ans et +,mondeville2,49154,age,2014-06
femme,cora.nord,380071,sexe,2014-12
femme,cote.nacre,645924,sexe,2014-12
femme,mondeville2,601068,sexe,2014-12
homme,cora.nord,435088,sexe,2014-12
homme,cote.nacre,631071,sexe,2014-12
homme,mondeville2,664453,sexe,2014-12
femme,cora.nord,852956,sexe,2014-11
femme,cote.nacre,971879,sexe,2014-11
femme,mondeville2,1116831,sexe,2014-11
homme,cora.nord,527991,sexe,2014-11
homme,cote.nacre,1028826,sexe,2014-11
homme,mondeville2,1153257,sexe,2014-11
femme,cora.nord,701894,sexe,2014-10
femme,cote.nacre,776025,sexe,2014-10
femme,mondeville2,1159679,sexe,2014-10
homme,cora.nord,850926,sexe,2014-10
homme,cote.nacre,859779,sexe,2014-10
homme,mondeville2,1089797,sexe,2014-10
femme,cora.nord,430668,sexe,2014-09
femme,cote.nacre,1123521,sexe,2014-09
femme,mondeville2,646771,sexe,2014-09
homme,cora.nord,570170,sexe,2014-09
