Shape_ID,EntityHand,floor_nb,Retailer name,Branch level 2,value,value_comp,Shop Front Traffic_comp,Shop Front Traffic,GLA,Lease end,breakdown,floor
0_6,81,0,Magasin 1,Fashion,4.3,4,139348,114682,67,31/08/22,Shop Front Traffic,Floor 0
0_7,82,0,Magasin 2,Fashion,17.3,9.4,156529,162598,151,28/05/22,Shop Front Traffic,Floor 0
0_15,93,0,Magasin 3,Fashion,6.5,7.8,216604,335471,149,31/07/21,Shop Front Traffic,Floor 0
0_16,94,0,Magasin 4,Fashion,7.6,7.2,175715,123057,108,15/05/22,Shop Front Traffic,Floor 0
0_17,95,0,Magasin 5,Fashion,7.6,10.2,191184,135571,149,31/07/19,Shop Front Traffic,Floor 0
0_18,96,0,Magasin 6,Fashion,15.7,10.2,191184,119315,267,06/05/22,Shop Front Traffic,Floor 0
0_19,97,0,Magasin 7,Fashion,12.9,7.7,148500,137511,85,16/05/22,Shop Front Traffic,Floor 0
0_20,98,0,Magasin 8,General Alimentation,3,10.2,191184,249143,285,18/04/22,Shop Front Traffic,Floor 0
0_22,9A,0,Magasin 9,General Alimentation,4.6,4.6,111731,111731,114,28/05/22,Shop Front Traffic,Floor 0
0_24,9D,0,Magasin 10,General Alimentation,8.4,10.2,191184,154895,182,29/04/22,Shop Front Traffic,Floor 0
0_25,9E,0,Magasin 11,General Alimentation,9.7,11.5,249213,238075,290,02/05/22,Shop Front Traffic,Floor 0
0_28,A2,0,Magasin 12,General Alimentation,3,1.8,148134,135887,87,09/02/24,Shop Front Traffic,Floor 0
0_29,A3,0,Magasin 13,General Alimentation,3.6,8.5,168894,143095,157,31/08/22,Shop Front Traffic,Floor 0
0_30,A5,0,Magasin 14,General Alimentation,13.6,10.2,191184,138778,135,15/05/12,Shop Front Traffic,Floor 0
0_32,A7,0,Magasin 15,General Alimentation,19.7,15.6,149305,184675,145,30/06/22,Shop Front Traffic,Floor 0
0_34,A9,0,Magasin 16,General Alimentation,4.8,8.5,168894,174280,131,14/07/18,Shop Front Traffic,Floor 0
0_37,AC,0,Magasin 17,Hairdressers,16.8,13.4,164597,197663,86,31/07/21,Shop Front Traffic,Floor 0
0_40,AF,0,Magasin 18,Hairdressers,6.8,7.2,175715,228373,86,18/10/16,Shop Front Traffic,Floor 0
0_42,B4,0,Magasin 19,Hairdressers,6.5,6.9,151638,191347,110,15/05/22,Shop Front Traffic,Floor 0
0_43,B5,0,Boutique 1,Hairdressers,5.9,5.3,186962,223799,170,30/12/23,Shop Front Traffic,Floor 0
