zone,segment,pays,voiture,value,target,variation,breakdown
Europe,Berline,France,Megane,53,60,-1,Volume
Europe,Berline,Allemagne,Megane,54,59,2,Volume
Europe,Berline,Italie,Megane,55,58,-4,Volume
US,Berline,US,Megane,56,57,5,Volume
US,Berline,Canada,Megane,57,56,-3,Volume
Asia,Berline,India,Megane,58,55,-5,Volume
Asia,Berline,China,Megane,59,54,4,Volume
Europe,Berline,France,Clio,60,47,5,Volume
Europe,Berline,Allemagne,Clio,61,46,10,Volume
Europe,Berline,Italie,Clio,62,45,-3,Volume
US,Berline,US,Clio,63,44,0,Volume
US,Berline,Canada,Clio,64,43,3,Volume
Asia,Berline,India,Clio,65,42,-5,Volume
Asia,Berline,China,Clio,66,41,5,Volume
Europe,Citadine,France,Twingo,40,60,-3,Volume
Europe,Citadine,Allemagne,Twingo,54,59,-5,Volume
Europe,Citadine,Italie,Twingo,55,58,4,Volume
US,Citadine,US,Twingo,56,57,5,Volume
US,Citadine,Canada,Twingo,57,56,3,Volume
Asia,Citadine,India,Twingo,58,55,-5,Volume
Asia,Citadine,China,Twingo,59,47,9,Volume
Europe,Monospace,France,Espace,60,46,-5,Volume
Europe,Monospace,Allemagne,Espace,61,45,4,Volume
Europe,Monospace,Italie,Espace,60,44,-4,Volume
US,Monospace,US,Espace,61,57,-5,Volume
US,Monospace,Canada,Espace,62,56,4,Volume
Asia,Monospace,India,Espace,63,55,-4,Volume
Asia,Monospace,China,Espace,64,54,-5,Volume
Europe,Monospace,France,Scenic,65,53,4,Volume
Europe,Monospace,Allemagne,Scenic,66,87,5,Volume
Europe,Monospace,Italie,Scenic,40,86,-1,Volume
US,Monospace,US,Scenic,54,47,2,Volume
US,Monospace,Canada,Scenic,57,46,-3,Volume
Asia,Monospace,India,Scenic,58,45,-5,Volume
Asia,Monospace,China,Scenic,59,87,4,Volume
Europe,Berline,France,Megane,40,60,-1,Amount
Europe,Berline,Allemagne,Megane,39,40,2,Amount
Europe,Berline,Italie,Megane,38,39,-4,Amount
US,Berline,US,Megane,39,38,5,Amount
US,Berline,Canada,Megane,40,37,-3,Amount
Asia,Berline,India,Megane,41,36,-5,Amount
Asia,Berline,China,Megane,33,35,4,Amount
Europe,Berline,France,Clio,40,47,5,Amount
Europe,Berline,Allemagne,Clio,41,46,10,Amount
Europe,Berline,Italie,Clio,42,45,-3,Amount
US,Berline,US,Clio,43,44,0,Amount
US,Berline,Canada,Clio,44,43,3,Amount
Asia,Berline,India,Clio,45,42,-5,Amount
Asia,Berline,China,Clio,46,41,5,Amount
Europe,Citadine,France,Twingo,40,60,-3,Amount
Europe,Citadine,Allemagne,Twingo,41,59,-5,Amount
Europe,Citadine,Italie,Twingo,42,58,4,Amount
US,Citadine,US,Twingo,43,57,5,Amount
US,Citadine,Canada,Twingo,60,56,3,Amount
Asia,Citadine,India,Twingo,59,55,-5,Amount
Asia,Citadine,China,Twingo,60,47,9,Amount
Europe,Monospace,France,Espace,59,46,-5,Amount
Europe,Monospace,Allemagne,Espace,58,45,4,Amount
Europe,Monospace,Italie,Espace,60,44,-4,Amount
US,Monospace,US,Espace,55,57,-5,Amount
US,Monospace,Canada,Espace,56,56,4,Amount
Asia,Monospace,India,Espace,57,55,-4,Amount
Asia,Monospace,China,Espace,58,54,-5,Amount
Europe,Monospace,France,Scenic,55,53,4,Amount
Europe,Monospace,Allemagne,Scenic,54,87,5,Amount
Europe,Monospace,Italie,Scenic,53,86,-1,Amount
US,Monospace,US,Scenic,87,47,2,Amount
US,Monospace,Canada,Scenic,86,46,-3,Amount
Asia,Monospace,India,Scenic,30,45,-5,Amount
Asia,Monospace,China,Scenic,90,87,4,Amount
