zone,segment,pays,voiture,value,target,variation,breakdown,concat
Europe,Berline,France,Megane,53,60,8,Import,Megane_France
Europe,Berline,Allemagne,Megane,54,59,2,Import,Megane_Allemagne
Europe,Berline,Italie,Megane,55,58,-4,Import,Megane_Italie
US,Berline,US,Megane,56,57,5,Import,Megane_US
US,Berline,Canada,Megane,57,56,-3,Import,Megane_Canada
Asia,Berline,India,Megane,58,55,-5,Import,Megane_India
Asia,Berline,China,Megane,59,54,4,Import,Megane_China
Europe,Berline,France,Clio,60,47,5,Import,Clio_France
Europe,Berline,Allemagne,Clio,61,46,18,Import,Clio_Allemagne
Europe,Berline,Italie,Clio,62,45,-3,Import,Clio_Italie
US,Berline,US,Clio,63,44,8,Import,Clio_US
US,Berline,Canada,Clio,64,43,2,Import,Clio_Canada
Asia,Berline,India,Clio,65,42,-5,Import,Clio_India
Asia,Berline,China,Clio,66,41,5,Import,Clio_China
Europe,Citadine,France,Twingo,40,60,-3,Import,Twingo_France
Europe,Citadine,Allemagne,Twingo,54,59,-5,Import,Twingo_Allemagne
Europe,Citadine,Italie,Twingo,55,58,4,Import,Twingo_Italie
US,Citadine,US,Twingo,56,57,16,Import,Twingo_US
US,Citadine,Canada,Twingo,57,56,-9,Import,Twingo_Canada
Asia,Citadine,India,Twingo,58,55,-9,Import,Twingo_India
Asia,Citadine,China,Twingo,59,47,5,Import,Twingo_China
Europe,Monospace,France,Espace,60,46,10,Import,Espace_France
Europe,Monospace,Allemagne,Espace,61,45,-3,Import,Espace_Allemagne
Europe,Monospace,Italie,Espace,60,44,0,Import,Espace_Italie
US,Monospace,US,Espace,61,57,3,Import,Espace_US
US,Monospace,Canada,Espace,62,56,4,Import,Espace_Canada
Asia,Monospace,India,Espace,63,55,-4,Import,Espace_India
Asia,Monospace,China,Espace,64,54,-5,Import,Espace_China
Europe,Monospace,France,Scenic,65,53,4,Import,Scenic_France
Europe,Monospace,Allemagne,Scenic,66,87,5,Import,Scenic_Allemagne
Europe,Monospace,Italie,Scenic,40,86,-4,Import,Scenic_Italie
US,Monospace,US,Scenic,54,47,5,Import,Scenic_US
US,Monospace,Canada,Scenic,57,46,-3,Import,Scenic_Canada
Asia,Monospace,India,Scenic,58,45,-5,Import,Scenic_India
Asia,Monospace,China,Scenic,59,87,4,Import,Scenic_China
Europe,Berline,France,Megane,40,60,5,Export,Megane_France
Europe,Berline,Allemagne,Megane,39,40,18,Export,Megane_Allemagne
Europe,Berline,Italie,Megane,38,39,-3,Export,Megane_Italie
US,Berline,US,Megane,39,38,-3,Export,Megane_US
US,Berline,Canada,Megane,40,37,0,Export,Megane_Canada
Asia,Berline,India,Megane,41,36,3,Export,Megane_India
Asia,Berline,China,Megane,33,35,4,Export,Megane_China
Europe,Berline,France,Clio,40,47,5,Export,Clio_France
Europe,Berline,Allemagne,Clio,41,46,4,Export,Clio_Allemagne
Europe,Berline,Italie,Clio,42,45,16,Export,Clio_Italie
US,Berline,US,Clio,43,44,-9,Export,Clio_US
US,Berline,Canada,Clio,44,43,-9,Export,Clio_Canada
Asia,Berline,India,Clio,45,42,5,Export,Clio_India
Asia,Berline,China,Clio,46,41,10,Export,Clio_China
Europe,Citadine,France,Twingo,40,60,-5,Export,Twingo_France
Europe,Citadine,Allemagne,Twingo,41,59,4,Export,Twingo_Allemagne
Europe,Citadine,Italie,Twingo,42,58,5,Export,Twingo_Italie
US,Citadine,US,Twingo,43,57,-1,Export,Twingo_US
US,Citadine,Canada,Twingo,60,56,2,Export,Twingo_Canada
Asia,Citadine,India,Twingo,59,55,-3,Export,Twingo_India
Asia,Citadine,China,Twingo,60,47,-5,Export,Twingo_China
Europe,Monospace,France,Espace,59,46,-5,Export,Espace_France
Europe,Monospace,Allemagne,Espace,58,45,4,Export,Espace_Allemagne
Europe,Monospace,Italie,Espace,60,44,3,Export,Espace_Italie
US,Monospace,US,Espace,55,57,4,Export,Espace_US
US,Monospace,Canada,Espace,56,56,-4,Export,Espace_Canada
Asia,Monospace,India,Espace,57,55,-5,Export,Espace_India
Asia,Monospace,China,Espace,58,54,4,Export,Espace_China
Europe,Monospace,France,Scenic,55,53,16,Export,Scenic_France
Europe,Monospace,Allemagne,Scenic,54,87,-9,Export,Scenic_Allemagne
Europe,Monospace,Italie,Scenic,53,86,-9,Export,Scenic_Italie
US,Monospace,US,Scenic,87,47,5,Export,Scenic_US
US,Monospace,Canada,Scenic,86,46,10,Export,Scenic_Canada
Asia,Monospace,India,Scenic,30,45,-5,Export,Scenic_India
Asia,Monospace,China,Scenic,90,87,4,Export,Scenic_China
