Retailer name,value,GLA,Lease end,group,breakdown,Branch level 2
France,15.3,222,29/01/21,group,Croissance du marché,Europe
Allemagne,18.1,592,26/10/19,group,Croissance du marché,Europe
Autriche,12,225,30/06/17,group,Croissance du marché,Europe
UK,10.7,285,31/08/18,group,Croissance du marché,Europe
Suisse,9.2,68,31/07/18,group,Croissance du marché,Europe
Suède,14,270,30/09/14,group,Croissance du marché,Europe
USA,21.8,31,30/06/19,group,Croissance du marché,Amérique du Sud
Canada,11.5,56,21/05/22,group,Croissance du marché,Amérique du Sud
Mexique,24.6,2069,14/06/21,group,Croissance du marché,Amérique du Sud
Costa Rica,39.8,116,04/03/22,group,Croissance du marché,Amérique du Sud
Chine,15.7,227,30/06/21,group,Croissance du marché,Asie
Japon,14.6,225,31/12/21,group,Croissance du marché,Asie
Corée du Sud,20.8,380,09/03/23,group,Croissance du marché,Asie
Malaysie,21.5,129,20/10/23,group,Croissance du marché,Asie
Inde,13.1,252,31/05/18,group,Croissance du marché,Asie
Thaïlande,21.3,1263,05/06/18,group,Croissance du marché,Asie
Birmanie,27.6,287,31/12/17,group,Croissance du marché,Asie
Boutan,22.7,1313,15/05/21,group,Croissance du marché,Asie
Mongolie,16.9,59,16/02/20,group,Croissance du marché,Asie
Brésil,20,423,31/12/23,group,Croissance du marché,Amérique du Sud
Argentine,16.1,235,28/02/19,group,Croissance du marché,Amérique du Sud
Bolivie,15.8,62,18/08/21,group,Croissance du marché,Amérique du Sud
Peru,19,132,14/10/19,group,Croissance du marché,Amérique du Sud
Chili,14.3,221,31/12/14,group,Croissance du marché,Amérique du Sud
Uruguay,13.2,38,31/12/17,group,Croissance du marché,Amérique du Sud
Paraguay,12.1,62,30/09/18,group,Croissance du marché,Amérique du Sud
Afrique du Sud,16.7,256,19/03/18,group,Croissance du marché,Afrique
Togo,28.7,309,28/02/24,group,Croissance du marché,Afrique
Maroc,23.3,2296,31/12/22,group,Croissance du marché,Afrique
France,11957,222,29/01/21,group,Points de vente,Europe
Allemagne,24993,592,26/10/19,group,Points de vente,Europe
Autriche,9614,225,30/06/17,group,Points de vente,Europe
UK,9940,285,31/08/18,group,Points de vente,Europe
Suisse,2103,68,31/07/18,group,Points de vente,Europe
Suède,33746,270,30/09/14,group,Points de vente,Europe
USA,1102,31,30/06/19,group,Points de vente,Amérique du Sud
Canada,4438,56,21/05/22,group,Points de vente,Amérique du Sud
Mexique,43802,2069,14/06/21,group,Points de vente,Amérique du Sud
Costa Rica,49094,116,04/03/22,group,Points de vente,Amérique du Sud
Chine,108361,227,30/06/21,group,Points de vente,Asie
Japon,58956,225,31/12/21,group,Points de vente,Asie
Corée du Sud,87767,380,09/03/23,group,Points de vente,Asie
Malaysie,5532,129,20/10/23,group,Points de vente,Asie
Inde,44834,252,31/05/18,group,Points de vente,Asie
Thaïlande,43081,1263,05/06/18,group,Points de vente,Asie
Birmanie,72194,287,31/12/17,group,Points de vente,Asie
Boutan,31092,1313,15/05/21,group,Points de vente,Asie
Mongolie,15162,59,16/02/20,group,Points de vente,Asie
Brésil,76345,423,31/12/23,group,Points de vente,Amérique du Sud
Argentine,25071,235,28/02/19,group,Points de vente,Amérique du Sud
Bolivie,6627,62,18/08/21,group,Points de vente,Amérique du Sud
Peru,10669,132,14/10/19,group,Points de vente,Amérique du Sud
Chili,60120,221,31/12/14,group,Points de vente,Amérique du Sud
Uruguay,2941,38,31/12/17,group,Points de vente,Amérique du Sud
Paraguay,9994,62,30/09/18,group,Points de vente,Amérique du Sud
Afrique du Sud,32978,256,19/03/18,group,Points de vente,Afrique
Togo,78347,309,28/02/24,group,Points de vente,Afrique
Maroc,145443,2296,31/12/22,group,Points de vente,Afrique
France,838953,222,29/01/21,group,Promotion,Europe
Allemagne,575705,592,26/10/19,group,Promotion,Europe
Autriche,804819,225,30/06/17,group,Promotion,Europe
UK,648652,285,31/08/18,group,Promotion,Europe
Suisse,115383,68,31/07/18,group,Promotion,Europe
Suède,487643,270,30/09/14,group,Promotion,Europe
USA,124229,31,30/06/19,group,Promotion,Amérique du Sud
Canada,220244,56,21/05/22,group,Promotion,Amérique du Sud
Mexique,670774,2069,14/06/21,group,Promotion,Amérique du Sud
Costa Rica,228997,116,04/03/22,group,Promotion,Amérique du Sud
Chine,512442,227,30/06/21,group,Promotion,Asie
Japon,488287,225,31/12/21,group,Promotion,Asie
Corée du Sud,657738,380,09/03/23,group,Promotion,Asie
Malaysie,410856,129,20/10/23,group,Promotion,Asie
Inde,561304,252,31/05/18,group,Promotion,Asie
Thaïlande,493013,1263,05/06/18,group,Promotion,Asie
Birmanie,456311,287,31/12/17,group,Promotion,Asie
Boutan,515166,1313,15/05/21,group,Promotion,Asie
Mongolie,439046,59,16/02/20,group,Promotion,Asie
Brésil,556920,423,31/12/23,group,Promotion,Amérique du Sud
Argentine,265296,235,28/02/19,group,Promotion,Amérique du Sud
Bolivie,295837,62,18/08/21,group,Promotion,Amérique du Sud
Peru,394134,132,14/10/19,group,Promotion,Amérique du Sud
Chili,483779,221,31/12/14,group,Promotion,Amérique du Sud
Uruguay,322545,38,31/12/17,group,Promotion,Amérique du Sud
Paraguay,414751,62,30/09/18,group,Promotion,Amérique du Sud
Afrique du Sud,526084,256,19/03/18,group,Promotion,Afrique
Togo,476966,309,28/02/24,group,Promotion,Afrique
