,NB store,NB visit,group
,2014,0.9,CA
,2013,3.1,CA
,2012,23,CA
,2011,14.8,CA
,2014,9.4,Marge OP
,2013,6.1,Marge OP
,2012,4,Marge OP
,2011,2.7,Marge OP
,2014,6.1,Total Cost
,2013,3.7,Total Cost
,2012,27.4,Total Cost
,2011,22.4,Total Cost
,2014,15.5,Evol. Masse Salariale
,2013,10.2,Evol. Masse Salariale
,2012,6.8,Evol. Masse Salariale
,2011,4.5,Evol. Masse Salariale
,2014,3,Evol. Croissance organique
,2013,6.6,Evol. Croissance organique
,2012,6.6,Evol. Croissance organique
,2011,6.6,Evol. Croissance organique
,2014,7.2,Evol. nouveaux marchés
,2013,6.6,Evol. nouveaux marchés
,2012,9.1,Evol. nouveaux marchés
,2011,6.6,Evol. nouveaux marchés
