date,center,value
Jan-12,eolien,7.02
Feb-12,eolien,5.09
Mar-12,eolien,5.21
Apr-12,eolien,5.32
May-12,eolien,5.33
Jun-12,eolien,6.83
Jul-12,eolien,7.41
Aug-12,eolien,4.86
Sep-12,eolien,6.29
Oct-12,eolien,6.66
Nov-12,eolien,6.44
Dec-12,eolien,10.03
Jan-13,eolien,7.56
Feb-13,eolien,5.14
Mar-13,eolien,5.49
Apr-13,eolien,5.73
May-13,eolien,5.64
Jun-13,eolien,6.91
Jul-13,eolien,7.06
Aug-13,eolien,4.9
Sep-13,eolien,6.04
Oct-13,eolien,6.36
Nov-13,eolien,6.56
Dec-13,eolien,9.41
Jan-14,eolien,7.43
Feb-14,eolien,5.13
Mar-14,eolien,5.47
Apr-14,eolien,5.88
May-14,eolien,6.27
Jun-14,eolien,7.19
Jul-14,eolien,7.59
Aug-14,eolien,5.76
Jan-12,hydrolien,4.04
Feb-12,hydrolien,3.34
Mar-12,hydrolien,3.42
Apr-12,hydrolien,3.46
May-12,hydrolien,3.59
Jun-12,hydrolien,3.84
Jul-12,hydrolien,3.77
Aug-12,hydrolien,3.12
Sep-12,hydrolien,3.58
Oct-12,hydrolien,3.7
Nov-12,hydrolien,3.72
Dec-12,hydrolien,6.44
Jan-13,hydrolien,4.07
Feb-13,hydrolien,3.06
Mar-13,hydrolien,3.36
Apr-13,hydrolien,3.27
May-13,hydrolien,3.43
Jun-13,hydrolien,3.72
Jul-13,hydrolien,3.69
Aug-13,hydrolien,3.12
Sep-13,hydrolien,3.32
Oct-13,hydrolien,3.64
Nov-13,hydrolien,3.81
Dec-13,hydrolien,6.18
Jan-14,hydrolien,4.08
Feb-14,hydrolien,3.13
Mar-14,hydrolien,3.3
Apr-14,hydrolien,3.34
May-14,hydrolien,3.69
Jun-14,hydrolien,3.63
Jul-14,hydrolien,3.69
Aug-14,hydrolien,3.27
