poi_id,code commune INSEE,IRIS,category,kpi,value,value_comp,city,mean_income,population
Côte de Nacre,14005,140050000,home,Visites,0.2289481525901495,2474,AIRAN,19731.0,688.0
Côte de Nacre,14005,140050000,work,Visites,0.18265508752985532,1996,AIRAN,19731.0,688.0
Mondeville 2,14005,140050000,home,Visites,0.42977807897057385,4211,AIRAN,19731.0,688.0
Mondeville 2,14005,140050000,work,Visites,0.39999195794002634,3979,AIRAN,19731.0,688.0
Les Rives de l'Orne,14005,140050000,home,Visites,0.44574252213854526,1050,AIRAN,19731.0,688.0
Les Rives de l'Orne,14005,140050000,work,Visites,0.3339303728408787,811,AIRAN,19731.0,688.0
Val Saint Clair,14005,140050000,home,Visites,0.21837846197209096,1751,AIRAN,19731.0,688.0
Val Saint Clair,14005,140050000,work,Visites,0.24143081081748274,1956,AIRAN,19731.0,688.0
Côte de Nacre,14008,140080000,home,Visites,0.16370625785447634,1769,AMBLIE,26899.0,267.0
Côte de Nacre,14008,140080000,work,Visites,0.05206951142509403,569,AMBLIE,26899.0,267.0
Mondeville 2,14008,140080000,home,Visites,0.061236487148502564,600,AMBLIE,26899.0,267.0
Val Saint Clair,14008,140080000,home,Visites,0.08842394605266275,709,AMBLIE,26899.0,267.0
Côte de Nacre,14009,140090000,home,Visites,0.2519910345606213,2723,AMFREVILLE,21928.0,1222.0
Côte de Nacre,14009,140090000,work,Visites,0.18082487623196097,1976,AMFREVILLE,21928.0,1222.0
Mondeville 2,14009,140090000,home,Visites,0.29587429373918156,2899,AMFREVILLE,21928.0,1222.0
Mondeville 2,14009,140090000,work,Visites,0.18949103812941684,1885,AMFREVILLE,21928.0,1222.0
Les Rives de l'Orne,14009,140090000,home,Visites,0.1685331250371452,397,AMFREVILLE,21928.0,1222.0
Les Rives de l'Orne,14009,140090000,work,Visites,0.04776316060362753,116,AMFREVILLE,21928.0,1222.0
Val Saint Clair,14009,140090000,home,Visites,0.4454870737660245,3572,AMFREVILLE,21928.0,1222.0
Val Saint Clair,14009,140090000,work,Visites,0.24069022550822666,1950,AMFREVILLE,21928.0,1222.0
Côte de Nacre,14014,140140000,home,Visites,0.023413048749113912,253,ANGUERNY,28238.0,759.0
Côte de Nacre,14015,140150000,home,Visites,0.2607824955533716,2818,ANISY,27853.0,675.0
Mondeville 2,14015,140150000,home,Visites,0.011941114993958,117,ANISY,27853.0,675.0
Val Saint Clair,14015,140150000,home,Visites,0.09278902096358405,744,ANISY,27853.0,675.0
Côte de Nacre,14020,140200000,home,Visites,0.4713148509060757,5093,ARGENCES,18304.5,3564.0
Côte de Nacre,14020,140200000,work,Visites,0.41518343292733145,4537,ARGENCES,18304.5,3564.0
Mondeville 2,14020,140200000,home,Visites,1.1572675462947843,11339,ARGENCES,18304.5,3564.0
Mondeville 2,14020,140200000,work,Visites,0.9550951476220634,9501,ARGENCES,18304.5,3564.0
Les Rives de l'Orne,14020,140200000,home,Visites,0.7386590366867322,1740,ARGENCES,18304.5,3564.0
Les Rives de l'Orne,14020,140200000,work,Visites,0.555452617709427,1349,ARGENCES,18304.5,3564.0
Val Saint Clair,14020,140200000,home,Visites,0.5692057683841366,4564,ARGENCES,18304.5,3564.0
Val Saint Clair,14020,140200000,work,Visites,0.47718380093066887,3866,ARGENCES,18304.5,3564.0
Côte de Nacre,14021,140210000,work,Visites,0.009974651573524163,109,ARROMANCHES LES BAINS,17908.0,567.0
Mondeville 2,14021,140210000,work,Visites,0.05920966655608834,589,ARROMANCHES LES BAINS,17908.0,567.0
Côte de Nacre,14026,140260000,home,Visites,0.12048928644800914,1302,AUDRIEU,20937.0,1049.0
Côte de Nacre,14026,140260000,work,Visites,0.03257776110251929,356,AUDRIEU,20937.0,1049.0
Mondeville 2,14026,140260000,home,Visites,0.1523767921878572,1493,AUDRIEU,20937.0,1049.0
Mondeville 2,14026,140260000,work,Visites,0.012867295957859605,128,AUDRIEU,20937.0,1049.0
Val Saint Clair,14026,140260000,home,Visites,0.093537319519742,750,AUDRIEU,20937.0,1049.0
Côte de Nacre,14027,140270000,home,Visites,0.38201211555866493,4128,AUNAY SUR ODON,17307.0,3158.0
Côte de Nacre,14027,140270000,work,Visites,0.3935869396121782,4301,AUNAY SUR ODON,17307.0,3158.0
Mondeville 2,14027,140270000,home,Visites,0.4481490251151246,4391,AUNAY SUR ODON,17307.0,3158.0
Mondeville 2,14027,140270000,work,Visites,0.5325854217557827,5298,AUNAY SUR ODON,17307.0,3158.0
Les Rives de l'Orne,14027,140270000,home,Visites,0.3145668656234877,741,AUNAY SUR ODON,17307.0,3158.0
Les Rives de l'Orne,14027,140270000,work,Visites,0.4512795174273774,1096,AUNAY SUR ODON,17307.0,3158.0
Val Saint Clair,14027,140270000,home,Visites,0.3474599629093349,2786,AUNAY SUR ODON,17307.0,3158.0
Val Saint Clair,14027,140270000,work,Visites,0.33005418615846055,2674,AUNAY SUR ODON,17307.0,3158.0
Côte de Nacre,14030,140300000,home,Visites,0.2547672854004372,2753,AUTHIE,24920.0,1441.0
Côte de Nacre,14030,140300000,work,Visites,0.11576086459181713,1265,AUTHIE,24920.0,1441.0
Mondeville 2,14030,140300000,home,Visites,0.15809219765505078,1549,AUTHIE,24920.0,1441.0
Mondeville 2,14030,140300000,work,Visites,0.06282859354423635,625,AUTHIE,24920.0,1441.0
Val Saint Clair,14030,140300000,home,Visites,0.15651911466303492,1255,AUTHIE,24920.0,1441.0
Côte de Nacre,14034,140340000,home,Visites,0.3449028959997927,3727,AVENAY,21323.0,522.0
Côte de Nacre,14034,140340000,work,Visites,0.34325612892008384,3751,AVENAY,21323.0,522.0
Mondeville 2,14034,140340000,home,Visites,0.3726240242986381,3651,AVENAY,21323.0,522.0
Mondeville 2,14034,140340000,work,Visites,0.33284075715994654,3311,AVENAY,21323.0,522.0
Les Rives de l'Orne,14034,140340000,home,Visites,0.3867347025411569,911,AVENAY,21323.0,522.0
Les Rives de l'Orne,14034,140340000,work,Visites,0.38210528482902023,928,AVENAY,21323.0,522.0
Val Saint Clair,14034,140340000,home,Visites,0.2239907011432755,1796,AVENAY,21323.0,522.0
Val Saint Clair,14034,140340000,work,Visites,0.24957724921929966,2022,AVENAY,21323.0,522.0
Côte de Nacre,14035,140350000,home,Visites,0.03933022023072495,425,BALLEROY,16504.0,969.0
Mondeville 2,14035,140350000,home,Visites,0.017860642084979915,175,BALLEROY,16504.0,969.0
Côte de Nacre,14036,140360000,home,Visites,0.18906268219146136,2043,BANNEVILLE LA CAMPAGNE,21908.0,140.0
Côte de Nacre,14036,140360000,work,Visites,0.1889693165075908,2065,BANNEVILLE LA CAMPAGNE,21908.0,140.0
Mondeville 2,14036,140360000,home,Visites,0.43743263986413666,4286,BANNEVILLE LA CAMPAGNE,21908.0,140.0
Mondeville 2,14036,140360000,work,Visites,0.3922514752153764,3902,BANNEVILLE LA CAMPAGNE,21908.0,140.0
Les Rives de l'Orne,14036,140360000,home,Visites,0.187211859298189,441,BANNEVILLE LA CAMPAGNE,21908.0,140.0
Les Rives de l'Orne,14036,140360000,work,Visites,0.06382146459967472,155,BANNEVILLE LA CAMPAGNE,21908.0,140.0
Val Saint Clair,14036,140360000,home,Visites,0.23209726883498644,1861,BANNEVILLE LA CAMPAGNE,21908.0,140.0
Val Saint Clair,14036,140360000,work,Visites,0.20366096004542256,1650,BANNEVILLE LA CAMPAGNE,21908.0,140.0
Côte de Nacre,14038,140380000,home,Visites,0.13159428980727267,1422,BANVILLE,20831.0,668.0
Côte de Nacre,14038,140380000,work,Visites,0.0599394200060397,655,BANVILLE,20831.0,668.0
Val Saint Clair,14038,140380000,home,Visites,0.09715409587450534,779,BANVILLE,20831.0,668.0
Val Saint Clair,14038,140380000,work,Visites,0.0686275719910636,556,BANVILLE,20831.0,668.0
Côte de Nacre,14042,140420000,home,Visites,0.0312790927952589,338,BARON SUR ODON,23530.0,841.0
Côte de Nacre,14042,140420000,work,Visites,0.009425588184155861,103,BARON SUR ODON,23530.0,841.0
Mondeville 2,14042,140420000,home,Visites,0.02571932460237108,252,BARON SUR ODON,23530.0,841.0
Val Saint Clair,14042,140420000,home,Visites,0.01696143393957988,136,BARON SUR ODON,23530.0,841.0
Côte de Nacre,14044,140440000,home,Visites,0.04913963986474106,531,BASLY,22343.0,1115.0
Côte de Nacre,14045,140450000,home,Visites,0.0107348365806214,116,BASSENEVILLE,22110.0,257.0
Mondeville 2,14045,140450000,home,Visites,0.07756621705476992,760,BASSENEVILLE,22110.0,257.0
Côte de Nacre,14046,140460000,home,Visites,0.06274326897983887,678,BAVENT,20922.0,1733.0
Mondeville 2,14046,140460000,home,Visites,0.17819817760214246,1746,BAVENT,20922.0,1733.0
Mondeville 2,14046,140460000,work,Visites,0.09318736994481136,927,BAVENT,20922.0,1733.0
Val Saint Clair,14046,140460000,home,Visites,0.0875509310704785,702,BAVENT,20922.0,1733.0
Val Saint Clair,14046,140460000,work,Visites,0.026661071133218955,216,BAVENT,20922.0,1733.0
Côte de Nacre,14047,140470101,home,Visites,0.20479477028375134,2213,BAYEUX,17220.0,13511.0
Côte de Nacre,14047,140470101,work,Visites,0.35661667139471254,3897,BAYEUX,17220.0,13511.0
Côte de Nacre,14047,140470102,home,Visites,0.02248763180250862,243,BAYEUX,17220.0,13511.0
Côte de Nacre,14047,140470102,work,Visites,0.061769631303934036,675,BAYEUX,17220.0,13511.0
Côte de Nacre,14047,140470103,home,Visites,0.07153472997258915,773,BAYEUX,17220.0,13511.0
Côte de Nacre,14047,140470103,work,Visites,0.10258334324697786,1121,BAYEUX,17220.0,13511.0
Côte de Nacre,14047,140470203,home,Visites,0.23644402985765237,2555,BAYEUX,17220.0,13511.0
Côte de Nacre,14047,140470203,work,Visites,0.3997181474601243,4368,BAYEUX,17220.0,13511.0
Mondeville 2,14047,140470101,home,Visites,0.2353522322740782,2306,BAYEUX,17220.0,13511.0
Mondeville 2,14047,140470101,work,Visites,0.30006936276727286,2985,BAYEUX,17220.0,13511.0
Mondeville 2,14047,140470102,home,Visites,0.10318348084522681,1011,BAYEUX,17220.0,13511.0
Mondeville 2,14047,140470102,work,Visites,0.0916794836997497,912,BAYEUX,17220.0,13511.0
Mondeville 2,14047,140470103,home,Visites,0.012349358241614684,121,BAYEUX,17220.0,13511.0
Mondeville 2,14047,140470103,work,Visites,0.07670114699880375,763,BAYEUX,17220.0,13511.0
Mondeville 2,14047,140470203,home,Visites,0.20810199549299455,2039,BAYEUX,17220.0,13511.0
Mondeville 2,14047,140470203,work,Visites,0.35334801009278527,3515,BAYEUX,17220.0,13511.0
Les Rives de l'Orne,14047,140470101,home,Visites,0.1608918246576273,379,BAYEUX,17220.0,13511.0
Les Rives de l'Orne,14047,140470101,work,Visites,0.48669013649558396,1182,BAYEUX,17220.0,13511.0
Les Rives de l'Orne,14047,140470203,home,Visites,0.3230571993785076,761,BAYEUX,17220.0,13511.0
Les Rives de l'Orne,14047,140470203,work,Visites,0.4656908158853684,1131,BAYEUX,17220.0,13511.0
Val Saint Clair,14047,140470101,home,Visites,0.2484351206444347,1992,BAYEUX,17220.0,13511.0
Val Saint Clair,14047,140470101,work,Visites,0.3621462162262241,2934,BAYEUX,17220.0,13511.0
Val Saint Clair,14047,140470102,home,Visites,0.01459182184507975,117,BAYEUX,17220.0,13511.0
Val Saint Clair,14047,140470102,work,Visites,0.013947689990989545,113,BAYEUX,17220.0,13511.0
Val Saint Clair,14047,140470103,work,Visites,0.060727995358998726,492,BAYEUX,17220.0,13511.0
Val Saint Clair,14047,140470203,home,Visites,0.21077075998448527,1690,BAYEUX,17220.0,13511.0
Val Saint Clair,14047,140470203,work,Visites,0.33906464075440956,2747,BAYEUX,17220.0,13511.0
Val Saint Clair,14047,140470303,home,Visites,0.020578210294343237,165,BAYEUX,17220.0,13511.0
Côte de Nacre,14050,140500000,work,Visites,0.010615225527787183,116,LA BAZOQUE,17399.0,153.0
Côte de Nacre,14057,140570000,home,Visites,0.23357523732317595,2524,BELLENGREVILLE,19094.0,1579.0
Côte de Nacre,14057,140570000,work,Visites,0.15090092151138848,1649,BELLENGREVILLE,19094.0,1579.0
Mondeville 2,14057,140570000,home,Visites,0.5872579117541395,5754,BELLENGREVILLE,19094.0,1579.0
Mondeville 2,14057,140570000,work,Visites,0.3674216150466942,3655,BELLENGREVILLE,19094.0,1579.0
Les Rives de l'Orne,14057,140570000,home,Visites,0.2708416467851351,638,BELLENGREVILLE,19094.0,1579.0
Val Saint Clair,14057,140570000,home,Visites,0.21600884987759084,1732,BELLENGREVILLE,19094.0,1579.0
Val Saint Clair,14057,140570000,work,Visites,0.13120703062320255,1063,BELLENGREVILLE,19094.0,1579.0
Côte de Nacre,14060,140600000,home,Visites,0.45151092824872247,4879,BENOUVILLE,24550.0,2041.0
Côte de Nacre,14060,140600000,work,Visites,0.12271566752381563,1341,BENOUVILLE,24550.0,2041.0
Mondeville 2,14060,140600000,home,Visites,0.46549936314053364,4561,BENOUVILLE,24550.0,2041.0
Mondeville 2,14060,140600000,work,Visites,0.18667631713863506,1857,BENOUVILLE,24550.0,2041.0
Les Rives de l'Orne,14060,140600000,home,Visites,0.26065324627911124,614,BENOUVILLE,24550.0,2041.0
Val Saint Clair,14060,140600000,home,Visites,1.3024136369928874,10443,BENOUVILLE,24550.0,2041.0
Val Saint Clair,14060,140600000,work,Visites,0.5816063295357764,4712,BENOUVILLE,24550.0,2041.0
Côte de Nacre,14062,140620000,work,Visites,0.009608609313945296,105,BENY SUR MER,21316.0,374.0
