comportement,pourcentage,effectif,groupe,effectif groupe,marche
Tous les canaux,4.7,10100,,,Particuliers
Face à face et canaux digitaux,24.7,20202020,,,Particuliers
Face à face et téléphone,1.8,4981280,,,Particuliers
Tel/mails et canaux digitaux,3.3,6064246,,,Particuliers
Canaux digitaux exclusivement,25.3,2419185,Canaux digitaux,6064246,Particuliers
Face à face exclusivement,16.4,47.6,Agence face à face,4981280,Particuliers
Tel/mails exclusivement,1.3,11.2,Téléphone,1165677,Particuliers
Tous les canaux,2.3,10100,,,Professionnels
Face à face et canaux digitaux,39.4,20202020,,,Professionnels
Face à face et téléphone,3.4,4981280,,,Professionnels
Tel/mails et canaux digitaux,1.3,6064246,,,Professionnels
Canaux digitaux exclusivement,18.3,2419185,Canaux digitaux,6064246,Professionnels
Face à face exclusivement,20.4,47.6,Agence face à face,4981280,Professionnels
Tel/mails exclusivement,2.3,11.2,Téléphone,1165677,Professionnels
