date,value,kpi,Activité,Var CA,Var Marge
S1 2010,1778,CA,Energie,1.3,0.1
S1 2011,1872,CA,Energie,3.1,2.0
S1 2012,1840,CA,Energie,-0.4,0.5
S1 2013,1696,CA,Energie,-10,1.3
S1 2014,1770,CA,Energie,3.4,1.5
S1 2010,4.3,Marge,Energie,1.3,1.7
S1 2011,4.3,Marge,Energie,3.1,1.9
S1 2012,4.3,Marge,Energie,-0.4,2.1
S1 2013,4.2,Marge,Energie,-10,2.3
S1 2014,4,Marge,Energie,3.4,2.5
S1 2010,1578,CA,Travaux Publics,1.3,2.7
S1 2011,1972,CA,Travaux Publics,3.1,2.9
S1 2012,1740,CA,Travaux Publics,-0.4,3.1
S1 2013,1636,CA,Travaux Publics,-12,3.3
S1 2014,1720,CA,Travaux Publics,4.4,3.5
S1 2010,3.7,Marge,Travaux Publics,1.3,3.7
S1 2011,4.3,Marge,Travaux Publics,3.1,3.9
S1 2012,4.2,Marge,Travaux Publics,-1.4,4.1
S1 2013,4,Marge,Travaux Publics,-1,4.3
S1 2014,4.3,Marge,Travaux Publics,1.4,4.5
