date,value,kpi,Breakdown,Var CA,Var Marge
S1 2010,4000,CA,Recyclage & Production,1.3,0.1
S1 2011,3400,CA,Recyclage & Production,3.1,2
S1 2012,3800,CA,Recyclage & Production,-0.4,0.5
S1 2013,1800,CA,Recyclage & Production,-10,1.3
S1 2014,5400,CA,Recyclage & Production,3.4,1.5
S1 2010,10,Marge,Recyclage & Production,1.3,1.7
S1 2011,13,Marge,Recyclage & Production,3.1,1.9
S1 2012,17,Marge,Recyclage & Production,-0.4,2.1
S1 2013,22,Marge,Recyclage & Production,-10,2.3
S1 2014,21,Marge,Recyclage & Production,3.4,2.5
S1 2010,3766,CA,Emissions & Investissement,1.3,2.7
S1 2011,3166,CA,Emissions & Investissement,3.1,2.9
S1 2012,3390,CA,Emissions & Investissement,-0.4,3.1
S1 2013,1390,CA,Emissions & Investissement,-12,3.3
S1 2014,4990,CA,Emissions & Investissement,4.4,3.5
S1 2010,22,Marge,Emissions & Investissement,1.3,3.7
S1 2011,21,Marge,Emissions & Investissement,3.1,3.9
S1 2012,17,Marge,Emissions & Investissement,-1.4,4.1
S1 2013,13,Marge,Emissions & Investissement,-1,4.3
S1 2014,10,Marge,Emissions & Investissement,1.4,4.5
