label,value,breakdown,evolution,sparkline-06-2013,sparkline-06-2014,sparkline-06-2015
Total,3861,Total,1,3840,3600,3861
Findus France,2820,Total,2,2500,2900,2820
Findus SA,421,Total,3,410,415,421
Coraya,471,Total,4,400,500,471
MAP,56,Total,-5,40,45,56
Fleury,93,Total,9,30,60,93
Total,937,Cadres,8,900,950,937
Findus France,537,Cadres,7,500,530,537
Findus SA,320,Cadres,-5,300,340,320
Coraya,21,Cadres,8,18,22,21
MAP,26,Cadres,4,23,24,26
Fleury,33,Cadres,6,20,30,33
Total,1024,TAM,5,1000,1060,1024
Findus France,831,TAM,-4,800,890,831
Findus SA,89,TAM,3,80,92,89
Coraya,59,TAM,2,53,42,59
MAP,20,TAM,-1,18,22,20
Fleury,25,TAM,3,17,18,25
Total,1900,Employés,4,1840,1860,1900
Findus France,1452,Employés,5,1400,1403,1452
Findus SA,12,Employés,-4,10,16,12
Coraya,391,Employés,5,350,380,391
MAP,10,Employés,6,5,9,10
Fleury,35,Employés,7,30,43,35
