label,value,breakdown,evolution
moins de 25 ans ,129,âge,4
25 à 29 ans,319,âge,10
30 à 34 ans,389,âge,12
35 à 39 ans,379,âge,12
40 à 44 ans,419,âge,13
45 à 49 ans,546,âge,17
50 à 54 ans,580,âge,18
55 à 59 ans,389,âge,12
60 ans et plus,91,âge,3
Moins de 2 ans,506,Ancienneté,16
2 à 5 ans,402,Ancienneté,12
6 à 10 ans,474,Ancienneté,15
11 à 15 ans,494,Ancienneté,15
16 à 20 ans,359,Ancienneté,11
21 à 25 ans,427,Ancienneté,13
26 à 29 ans,275,Ancienneté,8
30 ans et plus ,304,Ancienneté,9
