center,value,label,breakdown,upper,
Toutes tranches d'âge,4.8,Toutes Directions,2013,<30 jours,Toutes Directions
50 ans et +,7.9,Toutes Directions,2013,<30 jours,Toutes Directions
Toutes tranches d'âge,5.1,BU3,2013,<30 jours,BU3
50 ans et +,8.4,BU3,2013,<30 jours,BU3
Toutes tranches d'âge,5.1,BU2,2013,<30 jours,BU2
50 ans et +,3.8,BU2,2013,<30 jours,BU2
Toutes tranches d'âge,5.1,BU1,2013,<30 jours,BU1
50 ans et +,7.9,BU1,2013,<30 jours,BU1
Toutes tranches d'âge,6,Toutes Directions,2014,<30 jours,
50 ans et +,9.1,Toutes Directions,2014,<30 jours,
Toutes tranches d'âge,5.3,BU3,2014,<30 jours,
50 ans et +,7.8,BU3,2014,<30 jours,
Toutes tranches d'âge,7.4,BU2,2014,<30 jours,
50 ans et +,8.7,BU2,2014,<30 jours,
Toutes tranches d'âge,5.7,BU1,2014,<30 jours,
50 ans et +,8,BU1,2014,<30 jours,
Toutes tranches d'âge,2.6,Toutes Directions,2013,>6 mois,
50 ans et +,4.5,Toutes Directions,2013,>6 mois,
Toutes tranches d'âge,3,BU3,2013,>6 mois,
50 ans et +,5.1,BU3,2013,>6 mois,
Toutes tranches d'âge,1.4,BU2,2013,>6 mois,
50 ans et +,0.000045,BU2,2013,>6 mois,
Toutes tranches d'âge,2.7,BU1,2013,>6 mois,
50 ans et +,4.6,BU1,2013,>6 mois,
Toutes tranches d'âge,3.5,Toutes Directions,2014,>6 mois,
50 ans et +,6.3,Toutes Directions,2014,>6 mois,
Toutes tranches d'âge,3.4,BU3,2014,>6 mois,
50 ans et +,5.6,BU3,2014,>6 mois,
Toutes tranches d'âge,3.8,BU2,2014,>6 mois,
50 ans et +,4.4,BU2,2014,>6 mois,
Toutes tranches d'âge,3.4,BU1,2014,>6 mois,
50 ans et +,5.5,BU1,2014,>6 mois,
